Saison,Verletzung,von,bis,Spiele_verpasst,Quelle,Spieler,Team
21/22,Kapselverletzung,23.08.2021,26.08.2021,4 Tage,Transfermarkt,Manuel Neuer,FC Bayern
23/24,Adduktorenverletzung,25.09.2023,29.09.2023,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Hüftprobleme,27.10.2022,17.11.2022,22 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Magen-Darm-Grippe,20.10.2022,24.10.2022,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,muskuläre Probleme,13.10.2022,17.10.2022,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Erkältung,06.10.2022,10.10.2022,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Corona-Virus,01.10.2022,06.10.2022,6 Tage,Transfermarkt,Thomas Müller,FC Bayern
21/22,Erkältung,25.04.2022,02.05.2022,8 Tage,Transfermarkt,Thomas Müller,FC Bayern
21/22,Corona-Virus,21.02.2022,28.02.2022,8 Tage,Transfermarkt,Thomas Müller,FC Bayern
21/22,Adduktorenbeschwerden,02.09.2021,06.09.2021,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
20/21,Corona-Virus,11.02.2021,25.02.2021,15 Tage,Transfermarkt,Thomas Müller,FC Bayern
24/25,Oberschenkelprobleme,30.05.2025,12.06.2025,14 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
24/25,Knieverletzung,11.03.2025,15.04.2025,36 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
24/25,Oberschenkelverletzung,25.09.2024,16.10.2024,22 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
23/24,Krank,26.01.2024,04.02.2024,10 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
22/23,Krank,09.03.2023,13.03.2023,5 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
22/23,Krank,16.01.2023,26.01.2023,11 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
22/23,Entzündung im Sprunggelenk,07.11.2022,02.01.2023,57 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
22/23,Sprunggelenksprobleme,17.10.2022,03.11.2022,18 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
22/23,Außenbandanriss Sprunggelenk,19.09.2022,13.10.2022,25 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
21/22,Muskelfaserriss,06.06.2022,30.06.2022,25 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
21/22,Schonung,30.05.2022,06.06.2022,8 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
21/22,Krank,07.03.2022,28.03.2022,22 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
21/22,kleinere Blessur,24.02.2022,07.03.2022,12 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
21/22,Knieprobleme,23.09.2021,27.09.2021,5 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
21/22,Knieprobleme,06.09.2021,09.09.2021,4 Tage,Transfermarkt,Marco Reus,Borussia Dortmund
24/25,Muskelverhärtung,21.02.2025,27.02.2025,7 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
24/25,muskuläre Probleme,28.11.2024,19.12.2024,22 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
23/24,Krank,25.01.2024,04.02.2024,11 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
23/24,muskuläre Probleme,23.10.2023,26.10.2023,4 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
22/23,Muskelfaserriss,08.03.2023,29.03.2023,22 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
22/23,Grippaler Infekt,19.09.2022,27.09.2022,9 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
21/22,Gehirnerschütterung,02.12.2021,09.12.2021,8 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
21/22,Muskelverletzung,16.09.2021,27.09.2021,12 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
21/22,Corona-Virus,02.08.2021,19.08.2021,18 Tage,Transfermarkt,Julian Brandt,Borussia Dortmund
24/25,Schonung,08.02.2025,10.02.2025,3 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
24/25,Grippaler Infekt,16.12.2024,20.12.2024,5 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
24/25,Fieber,05.10.2024,08.10.2024,4 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
23/24,Schonung,10.05.2024,12.05.2024,3 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
23/24,Schonung,03.05.2024,05.05.2024,3 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
23/24,Infekt,12.01.2024,22.01.2024,11 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
22/23,Oberschenkelprobleme,03.11.2022,03.11.2022,1 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
22/23,Erkältung,29.09.2022,06.10.2022,8 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
22/23,Hüftprobleme,22.08.2022,25.08.2022,4 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
21/22,Muskelverletzung,11.04.2022,30.06.2022,81 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
21/22,Corona-Virus,07.03.2022,14.03.2022,8 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
21/22,Erkältung,16.12.2021,20.12.2021,5 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
21/22,Patellasehnenprobleme,19.08.2021,09.09.2021,22 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
21/22,Patellasehnenprobleme,01.07.2021,19.08.2021,50 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
20/21,Knieprobleme,01.02.2021,04.02.2021,4 Tage,Transfermarkt,Mats Hummels,Borussia Dortmund
24/25,Oberschenkelverletzung,13.01.2025,22.02.2025,41 Tage,Transfermarkt,Timo Werner,RB Leipzig
24/25,Hüftverletzung,04.11.2024,09.11.2024,6 Tage,Transfermarkt,Timo Werner,RB Leipzig
23/24,Oberschenkelprobleme,29.04.2024,30.06.2024,63 Tage,Transfermarkt,Timo Werner,RB Leipzig
23/24,Adduktorenbeschwerden,23.11.2023,10.12.2023,18 Tage,Transfermarkt,Timo Werner,RB Leipzig
23/24,Rückenprobleme,25.09.2023,01.10.2023,7 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Sprunggelenksprobleme,15.06.2023,01.07.2023,17 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Erkältung,18.05.2023,23.05.2023,6 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Syndesmosebandriss,03.11.2022,02.01.2023,61 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Infekt,13.10.2022,24.10.2022,12 Tage,Transfermarkt,Timo Werner,RB Leipzig
21/22,Corona-Virus,13.12.2021,03.01.2022,22 Tage,Transfermarkt,Timo Werner,RB Leipzig
21/22,Zerrung,21.10.2021,15.11.2021,26 Tage,Transfermarkt,Timo Werner,RB Leipzig
20/21,Oberschenkelzerrung,08.02.2021,15.02.2021,8 Tage,Transfermarkt,Timo Werner,RB Leipzig
24/25,Infekt,06.01.2025,16.01.2025,11 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
23/24,Knieverletzung,22.03.2024,01.06.2024,72 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
23/24,Leistenoperation,18.01.2024,11.03.2024,54 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
23/24,Adduktorenbeschwerden,12.12.2023,10.01.2024,30 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
22/23,Krank,05.05.2023,08.05.2023,4 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
22/23,Oberschenkelverletzung,11.03.2023,06.04.2023,27 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
21/22,Grippaler Infekt,26.05.2022,15.06.2022,21 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
21/22,Corona-Virus,10.03.2022,28.03.2022,19 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
21/22,Zahn-OP,04.10.2021,11.10.2021,8 Tage,Transfermarkt,Philipp Lienhart,SC Freiburg
24/25,Infekt,08.02.2025,17.02.2025,10 Tage,Transfermarkt,Lukas Kübler,SC Freiburg
23/24,Zehenbruch,10.11.2023,06.12.2023,27 Tage,Transfermarkt,Lukas Kübler,SC Freiburg
22/23,Krank,29.03.2023,03.04.2023,6 Tage,Transfermarkt,Lukas Kübler,SC Freiburg
22/23,Muskelfaserriss,01.08.2022,01.09.2022,32 Tage,Transfermarkt,Lukas Kübler,SC Freiburg
21/22,muskuläre Probleme,10.03.2022,24.03.2022,15 Tage,Transfermarkt,Lukas Kübler,SC Freiburg
24/25,unbekannte Verletzung,13.09.2024,14.10.2024,32 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
23/24,Fußverletzung,06.05.2024,24.06.2024,50 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
23/24,Rückenprobleme,16.02.2024,10.03.2024,24 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
23/24,Muskelfaserriss im Adduktorenbereich,26.01.2024,08.02.2024,14 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
23/24,Muskelverletzung,23.11.2023,13.01.2024,52 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
23/24,Probleme im rechten Hüftbeuger,30.09.2023,16.10.2023,17 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
21/22,Schulterverletzung,08.11.2021,12.03.2022,125 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
20/21,Wadenverletzung,03.11.2020,26.12.2020,54 Tage,Transfermarkt,Maximilian Arnold,VfL Wolfsburg
21/22,Leistenverletzung,16.04.2022,30.06.2022,76 Tage,Transfermarkt,Robin Gosens,1. FC Union Berlin
20/21,Patellasehnenprobleme,02.04.2021,04.11.2021,217 Tage,Transfermarkt,Andrej Kramaric,TSG Hoffenheim
